group,variable,value
2-Jul,Indonesia,0.39
2-Jul,Japan,0.18
2-Jul,Malaysia,0.39
2-Jul,Philippines,0.45
2-Jul,Singapore,0.41
2-Jul,Taiwan,0.28
9-Jul,Hong Kong,0.39
9-Jul,Indonesia,0.37
9-Jul,Japan,0.18
9-Jul,Malaysia,0.36
9-Jul,Philippines,0.42
9-Jul,Singapore,0.41
9-Jul,Taiwan,0.26
16-Jul,Hong Kong,0.39
16-Jul,Indonesia,0.36
16-Jul,Japan,0.19
16-Jul,Malaysia,0.34
16-Jul,Philippines,0.43
16-Jul,Singapore,0.4
16-Jul,Taiwan,0.26
23-Jul,Hong Kong,0.32
23-Jul,Indonesia,0.29
23-Jul,Japan,0.17
23-Jul,Malaysia,0.26
23-Jul,Philippines,0.4
23-Jul,Singapore,0.3
23-Jul,Taiwan,0.22
30-Jul,Hong Kong,0.36
30-Jul,Indonesia,0.3
30-Jul,Japan,0.18
30-Jul,Malaysia,0.3
30-Jul,Philippines,0.41
30-Jul,Singapore,0.34
30-Jul,Taiwan,0.24
6-Aug,Hong Kong,0.35
6-Aug,Indonesia,0.3
6-Aug,Japan,0.18
6-Aug,Malaysia,0.3
6-Aug,Philippines,0.38
6-Aug,Singapore,0.33
6-Aug,Taiwan,0.23
13-Aug,Hong Kong,0.35
13-Aug,Indonesia,0.29
13-Aug,Japan,0.17
13-Aug,Malaysia,0.29
13-Aug,Philippines,0.4
13-Aug,Singapore,0.31
13-Aug,Taiwan,0.24
20-Aug,Hong Kong,0.35
20-Aug,Indonesia,0.28
20-Aug,Japan,0.17
20-Aug,Malaysia,0.29
20-Aug,Philippines,0.4
20-Aug,Singapore,0.32
20-Aug,Taiwan,0.23
27-Aug,Hong Kong,0.34
27-Aug,Indonesia,0.27
27-Aug,Japan,0.15
27-Aug,Malaysia,0.29
27-Aug,Philippines,0.39
27-Aug,Singapore,0.29
27-Aug,Taiwan,0.22
3-Sep,Hong Kong,0.32
3-Sep,Indonesia,0.27
3-Sep,Japan,0.15
3-Sep,Malaysia,0.27
3-Sep,Philippines,0.38
3-Sep,Singapore,0.29
3-Sep,Taiwan,0.2
10-Sep,Hong Kong,0.32
10-Sep,Indonesia,0.25
10-Sep,Japan,0.14
10-Sep,Malaysia,0.25
10-Sep,Philippines,0.38
10-Sep,Singapore,0.28
10-Sep,Taiwan,0.2
17-Sep,Hong Kong,0.33
17-Sep,Indonesia,0.25
17-Sep,Japan,0.15
17-Sep,Malaysia,0.26
17-Sep,Philippines,0.36
17-Sep,Singapore,0.29
17-Sep,Taiwan,0.2
24-Sep,Hong Kong,0.33
24-Sep,Indonesia,0.23
24-Sep,Japan,0.14
24-Sep,Malaysia,0.26
24-Sep,Philippines,0.34
24-Sep,Singapore,0.26
24-Sep,Taiwan,0.2
1-Oct,Hong Kong,0.33
1-Oct,Indonesia,0.23
1-Oct,Japan,0.14
1-Oct,Malaysia,0.22
1-Oct,Philippines,0.34
1-Oct,Singapore,0.26
1-Oct,Taiwan,0.19
8-Oct,Hong Kong,0.32
8-Oct,Indonesia,0.23
8-Oct,Japan,0.14
8-Oct,Malaysia,0.2
8-Oct,Philippines,0.33
8-Oct,Singapore,0.26
8-Oct,Taiwan,0.2
15-Oct,Hong Kong,0.31
15-Oct,Indonesia,0.22
15-Oct,Japan,0.13
15-Oct,Malaysia,0.21
15-Oct,Philippines,0.34
15-Oct,Singapore,0.25
15-Oct,Taiwan,0.17
22-Oct,Hong Kong,0.3
22-Oct,Indonesia,0.21
22-Oct,Japan,0.12
22-Oct,Malaysia,0.2
22-Oct,Philippines,0.33
22-Oct,Singapore,0.25
22-Oct,Taiwan,0.17
29-Oct,Hong Kong,0.3
29-Oct,Indonesia,0.2
29-Oct,Japan,0.12
29-Oct,Malaysia,0.2
29-Oct,Philippines,0.34
29-Oct,Singapore,0.24
29-Oct,Taiwan,0.17
5-Nov,Hong Kong,0.28
5-Nov,Indonesia,0.2
5-Nov,Japan,0.12
5-Nov,Malaysia,0.17
5-Nov,Philippines,0.28
5-Nov,Singapore,0.2
5-Nov,Taiwan,0.15
12-Nov,Hong Kong,0.29
12-Nov,Indonesia,0.2
12-Nov,Japan,0.12
12-Nov,Malaysia,0.18
12-Nov,Philippines,0.31
12-Nov,Singapore,0.19
12-Nov,Taiwan,0.13
19-Nov,Hong Kong,0.3
19-Nov,Indonesia,0.19
19-Nov,Japan,0.12
19-Nov,Malaysia,0.19
19-Nov,Philippines,0.3
19-Nov,Singapore,0.21
19-Nov,Taiwan,0.15
26-Nov,Hong Kong,0.29
26-Nov,Indonesia,0.18
26-Nov,Japan,0.13
26-Nov,Malaysia,0.19
26-Nov,Philippines,0.31
26-Nov,Singapore,0.21
26-Nov,Taiwan,0.15
3-Dec,Hong Kong,0.28
3-Dec,Indonesia,0.2
3-Dec,Japan,0.12
3-Dec,Malaysia,0.17
3-Dec,Philippines,0.29
3-Dec,Singapore,0.2
3-Dec,Taiwan,0.16
10-Dec,Hong Kong,0.29
10-Dec,Indonesia,0.2
10-Dec,Japan,0.12
10-Dec,Malaysia,0.2
10-Dec,Philippines,0.31
10-Dec,Singapore,0.21
10-Dec,Taiwan,0.16
17-Dec,Hong Kong,0.27
17-Dec,Indonesia,0.2
17-Dec,Japan,0.12
17-Dec,Malaysia,0.18
17-Dec,Philippines,0.28
17-Dec,Singapore,0.2
17-Dec,Taiwan,0.14
24-Dec,Hong Kong,0.22
24-Dec,Indonesia,0.2
24-Dec,Japan,0.06
24-Dec,Malaysia,0.1
24-Dec,Philippines,0.18
24-Dec,Singapore,0.12
24-Dec,Taiwan,0.14
31-Dec,Hong Kong,0.31
31-Dec,Indonesia,0.22
31-Dec,Japan,0.14
31-Dec,Malaysia,0.2
31-Dec,Philippines,0.23
31-Dec,Singapore,0.23
31-Dec,Taiwan,0.14
7-Jan,Hong Kong,0.27
7-Jan,Indonesia,0.19
7-Jan,Japan,0.12
7-Jan,Malaysia,0.17
7-Jan,Philippines,0.28
7-Jan,Singapore,0.19
7-Jan,Taiwan,0.14
