group	variable	value
2/5/17	ID	0.76
2/5/17	IE	0.7
2/5/17	IS	0.45
2/5/17	IT	0.68
2/5/17	JP	0.35
2/5/17	MX	0.72
2/5/17	MY	0.77
2/5/17	NL	0.62
2/5/17	NO	0.73
2/5/17	NZ	0.8
2/5/17	PA	0.73
2/5/17	PE	0.72
2/5/17	PH	0.8
2/5/17	PL	0.69
2/5/17	PT	0.7
2/5/17	PY	0.79
2/5/17	SE	0.71
2/5/17	SG	0.78
2/5/17	SV	0.67
2/5/17	TR	0.7
2/5/17	TW	0.69
2/5/17	US	0.65
2/5/17	UY	0.76
2/12/17	AR	0.64
2/12/17	AT	0.7
2/12/17	AU	0.76
2/12/17	BE	0.63
2/12/17	BO	0.67
2/12/17	BR	0.72
2/12/17	CA	0.68
2/12/17	CH	0.68
2/12/17	CL	0.58
2/12/17	CO	0.6
2/12/17	CR	0.73
2/12/17	CZ	0.65
2/12/17	DE	0.63
2/12/17	DK	0.64
2/12/17	DO	0.66
2/12/17	EC	0.73
2/12/17	ES	0.67
2/12/17	FI	0.64
2/12/17	FR	0.66
2/12/17	GB	0.67
2/12/17	GLOBAL	0.72
2/12/17	GR	0.44
2/12/17	GT	0.68
2/12/17	HK	0.7
2/12/17	HN	0.67
2/12/17	HU	0.64
2/12/17	ID	0.75
2/12/17	IE	0.69
2/12/17	IS	0.45
2/12/17	IT	0.61
2/12/17	JP	0.36
2/12/17	MX	0.68
2/12/17	MY	0.75
2/12/17	NL	0.63
2/12/17	NO	0.68
2/12/17	NZ	0.76
2/12/17	PA	0.7
2/12/17	PE	0.7
2/12/17	PH	0.74
2/12/17	PL	0.67
2/12/17	PT	0.65
2/12/17	PY	0.75
2/12/17	SE	0.66
2/12/17	SG	0.75
2/12/17	SV	0.66
2/12/17	TR	0.66
2/12/17	TW	0.66
2/12/17	US	0.65
2/12/17	UY	0.74
2/19/17	AR	0.62
2/19/17	AT	0.63
2/19/17	AU	0.72
2/19/17	BE	0.6
2/19/17	BO	0.65
2/19/17	BR	0.7
2/19/17	CA	0.63
2/19/17	CH	0.65
2/19/17	CL	0.59
2/19/17	CO	0.6
2/19/17	CR	0.72
2/19/17	CZ	0.62
2/19/17	DE	0.6
2/19/17	DK	0.6
2/19/17	DO	0.65
2/19/17	EC	0.7
2/19/17	ES	0.64
2/19/17	FI	0.6
2/19/17	FR	0.63
2/19/17	GB	0.64
2/19/17	GLOBAL	0.7
2/19/17	GR	0.39
2/19/17	GT	0.64
2/19/17	HK	0.68
2/19/17	HN	0.63
2/19/17	HU	0.56
2/19/17	ID	0.71
2/19/17	IE	0.6
2/19/17	IS	0.42
2/19/17	IT	0.64
2/19/17	JP	0.34
2/19/17	MX	0.67
2/19/17	MY	0.73
2/19/17	NL	0.6
2/19/17	NO	0.62
2/19/17	NZ	0.74
2/19/17	PA	0.65
2/19/17	PE	0.68
2/19/17	PH	0.75
2/19/17	PL	0.64
2/19/17	PT	0.65
2/19/17	PY	0.69
2/19/17	SE	0.64
2/19/17	SG	0.72
2/19/17	SV	0.63
2/19/17	TR	0.63
2/19/17	TW	0.59
2/19/17	US	0.57
2/19/17	UY	0.65
2/26/17	AR	0.61
2/26/17	AT	0.64
2/26/17	AU	0.71
2/26/17	BE	0.6
2/26/17	BO	0.66
2/26/17	BR	0.68
2/26/17	CA	0.61
2/26/17	CH	0.6
2/26/17	CL	0.55
2/26/17	CO	0.58
2/26/17	CR	0.7
2/26/17	CZ	0.61
2/26/17	DE	0.6
2/26/17	DK	0.57
2/26/17	DO	0.61
2/26/17	EC	0.7
2/26/17	ES	0.63
2/26/17	FI	0.58
2/26/17	FR	0.61
2/26/17	GB	0.57
2/26/17	GLOBAL	0.67
2/26/17	GR	0.4
2/26/17	GT	0.62
2/26/17	HK	0.66
2/26/17	HN	0.61
2/26/17	HU	0.58
2/26/17	ID	0.67
2/26/17	IE	0.61
2/26/17	IS	0.38
2/26/17	IT	0.62
2/26/17	JP	0.32
2/26/17	MX	0.66
2/26/17	MY	0.71
2/26/17	NL	0.54
2/26/17	NO	0.62
2/26/17	NZ	0.72
2/26/17	PA	0.66
2/26/17	PE	0.64
2/26/17	PH	0.71
2/26/17	PL	0.62
2/26/17	PT	0.64
2/26/17	PY	0.65
2/26/17	SE	0.56
2/26/17	SG	0.71
2/26/17	SV	0.57
2/26/17	TR	0.63
2/26/17	TW	0.61
2/26/17	US	0.57
2/26/17	UY	0.65
3/5/17	AR	0.56
3/5/17	AT	0.56
3/5/17	AU	0.61
3/5/17	BE	0.55
3/5/17	BO	0.56
3/5/17	BR	0.62
3/5/17	CA	0.57
3/5/17	CH	0.55
3/5/17	CL	0.51
3/5/17	CO	0.55
3/5/17	CR	0.65
3/5/17	CZ	0.52
3/5/17	DE	0.53
3/5/17	DK	0.49
3/5/17	DO	0.54
3/5/17	EC	0.62
3/5/17	ES	0.56
