group,variable,value
1-Jan,Canada,1
1-Jan,Costa Rica,1
1-Jan,Dominican Republic,1
1-Jan,Guatemala,1
1-Jan,Honduras,1
1-Jan,Mexico,1
1-Jan,Panama,1
1-Jan,El Salvador,1
1-Jan,United States,1
8-Jan,Canada,0.82
8-Jan,Costa Rica,0.8
8-Jan,Dominican Republic,0.82
8-Jan,Guatemala,0.89
8-Jan,Honduras,0.86
8-Jan,Mexico,0.79
8-Jan,Panama,0.87
8-Jan,El Salvador,0.89
8-Jan,United States,0.76
15-Jan,Canada,0.8
15-Jan,Costa Rica,0.8
15-Jan,Dominican Republic,0.79
15-Jan,Guatemala,0.8
15-Jan,Honduras,0.8
15-Jan,Mexico,0.78
15-Jan,Panama,0.82
15-Jan,El Salvador,0.81
15-Jan,United States,0.76
22-Jan,Canada,0.79
22-Jan,Costa Rica,0.79
22-Jan,Dominican Republic,0.78
22-Jan,Guatemala,0.73
22-Jan,Honduras,0.76
22-Jan,Mexico,0.78
22-Jan,Panama,0.79
22-Jan,El Salvador,0.79
22-Jan,United States,0.74
29-Jan,Canada,0.75
29-Jan,Costa Rica,0.78
29-Jan,Dominican Republic,0.76
29-Jan,Guatemala,0.72
29-Jan,Honduras,0.74
29-Jan,Mexico,0.73
29-Jan,Panama,0.76
29-Jan,El Salvador,0.7
29-Jan,United States,0.7
5-Feb,Canada,0.71
5-Feb,Costa Rica,0.75
5-Feb,Dominican Republic,0.69
5-Feb,Guatemala,0.72
5-Feb,Honduras,0.7
5-Feb,Mexico,0.72
5-Feb,Panama,0.73
5-Feb,El Salvador,0.67
5-Feb,United States,0.65
12-Feb,Canada,0.68
12-Feb,Costa Rica,0.73
12-Feb,Dominican Republic,0.66
12-Feb,Guatemala,0.68
12-Feb,Honduras,0.67
12-Feb,Mexico,0.68
12-Feb,Panama,0.7
12-Feb,El Salvador,0.66
12-Feb,United States,0.65
19-Feb,Canada,0.63
19-Feb,Costa Rica,0.72
19-Feb,Dominican Republic,0.65
19-Feb,Guatemala,0.64
19-Feb,Honduras,0.63
19-Feb,Mexico,0.67
19-Feb,Panama,0.65
19-Feb,El Salvador,0.63
19-Feb,United States,0.57
26-Feb,Canada,0.61
26-Feb,Costa Rica,0.7
26-Feb,Dominican Republic,0.61
26-Feb,Guatemala,0.62
26-Feb,Honduras,0.61
26-Feb,Mexico,0.66
26-Feb,Panama,0.66
26-Feb,El Salvador,0.57
26-Feb,United States,0.57
5-Mar,Canada,0.57
5-Mar,Costa Rica,0.65
5-Mar,Dominican Republic,0.54
5-Mar,Guatemala,0.55
5-Mar,Honduras,0.52
5-Mar,Mexico,0.61
5-Mar,Panama,0.54
5-Mar,El Salvador,0.51
5-Mar,United States,0.53
12-Mar,Canada,0.56
12-Mar,Costa Rica,0.63
12-Mar,Dominican Republic,0.55
12-Mar,Guatemala,0.56
12-Mar,Honduras,0.54
12-Mar,Mexico,0.63
12-Mar,Panama,0.55
12-Mar,El Salvador,0.53
12-Mar,United States,0.53
19-Mar,Canada,0.47
19-Mar,Costa Rica,0.61
19-Mar,Dominican Republic,0.51
19-Mar,Guatemala,0.57
19-Mar,Honduras,0.54
19-Mar,Mexico,0.63
19-Mar,Panama,0.52
19-Mar,El Salvador,0.57
19-Mar,United States,0.47
26-Mar,Canada,0.46
26-Mar,Costa Rica,0.6
26-Mar,Dominican Republic,0.51
26-Mar,Guatemala,0.53
26-Mar,Honduras,0.54
26-Mar,Mexico,0.61
26-Mar,Panama,0.52
26-Mar,El Salvador,0.54
26-Mar,United States,0.44
2-Apr,Canada,0.44
2-Apr,Costa Rica,0.61
2-Apr,Dominican Republic,0.51
2-Apr,Guatemala,0.54
2-Apr,Honduras,0.53
2-Apr,Mexico,0.61
2-Apr,Panama,0.51
2-Apr,El Salvador,0.5
2-Apr,United States,0.41
9-Apr,Canada,0.4
9-Apr,Costa Rica,0.61
9-Apr,Dominican Republic,0.5
9-Apr,Guatemala,0.54
9-Apr,Honduras,0.51
9-Apr,Mexico,0.59
9-Apr,Panama,0.48
9-Apr,El Salvador,0.52
9-Apr,United States,0.39
